Keyword,Type,Lesson,Relevant Code
intro to Server/Firebase,lesson,UD.GDC.AD.7.5,N/A
intro to PreferenceFragment,lesson,UD.GDC.AD.7.7,N/A
intro to Fragment,lesson,UD.GDC.AD.7.7,N/A
Preferences SettingsActivity,java,"UD.GDC.AD.7.8, UD.GDC.AD.7.9, UD.GDC.AD.7.32 UD.GDC.AD.7.33","UD.GDC.AD.T06.01, UD.GDC.AD.S06.01"
Preferences Settings button in menu,java,"UD.GDC.AD.7.8, UD.GDC.AD.7.9, UD.GDC.AD.7.32 UD.GDC.AD.7.33","UD.GDC.AD.T06.01, UD.GDC.AD.S06.01"
compile com.android.support:preference-v7,gradle,"UD.GDC.AD.7.10, UD.GDC.AD.7.11, UD.GDC.AD.7.34","UD.GDC.AD.T06.02, UD.GDC.AD.S06.02"
extends PreferenceFragmentCompat,java,"UD.GDC.AD.7.10, UD.GDC.AD.7.11, UD.GDC.AD.7.34","UD.GDC.AD.T06.02, UD.GDC.AD.S06.02"
PreferenceScreen,resource xml,"UD.GDC.AD.7.10, UD.GDC.AD.7.11, UD.GDC.AD.7.34","UD.GDC.AD.T06.02, UD.GDC.AD.S06.02"
CheckBoxPreference,resource xml,"UD.GDC.AD.7.10, UD.GDC.AD.7.11, UD.GDC.AD.7.34","UD.GDC.AD.T06.02, UD.GDC.AD.S06.02"
addPreferencesFromResource,java,"UD.GDC.AD.7.10, UD.GDC.AD.7.11, UD.GDC.AD.7.34","UD.GDC.AD.T06.02, UD.GDC.AD.S06.02"
preferenceTheme @style/PreferenceThemeOverla,resource xml,"UD.GDC.AD.7.10, UD.GDC.AD.7.11, UD.GDC.AD.7.34","UD.GDC.AD.T06.02, UD.GDC.AD.S06.02"
setupSharedPreferences,java,"UD.GDC.AD.7.12, UD.GDC.AD.7.13, UD.GDC.AD.7.35","UD.GDC.AD.T06.03, UD.GDC.AD.S06.03"
PreferenceManager.getDefaultSharedPreferences,java,"UD.GDC.AD.7.12, UD.GDC.AD.7.13, UD.GDC.AD.7.35","UD.GDC.AD.T06.03, UD.GDC.AD.S06.03"
SharedPreferences resources,resource xml,"UD.GDC.AD.7.14, UD.GDC.AD.7.15, UD.GDC.AD.7.20, UD.GDC.AD.7.33, UD.GDC.AD.7.34","UD.GDC.AD.T06.04, UD.GDC.AD.T06.06, UD.GDC.AD.S06.02"
implements SharedPreferences.OnSharedPreferenceChangeListener,lesson,"UD.GDC.AD.7.16, UD.GDC.AD.7.17, UD.GDC.AD.7.18, UD.GDC.AD.7.33, UD.GDC.AD.7.34","UD.GDC.AD.T06.05, UD.GDC.AD.S06.02, UD.GDC.AD.S06.03"
registerOnSharedPreferenceChangeListener,java,"UD.GDC.AD.7.16, UD.GDC.AD.7.17, UD.GDC.AD.7.18, UD.GDC.AD.7.33, UD.GDC.AD.7.34","UD.GDC.AD.T06.05, UD.GDC.AD.S06.02, UD.GDC.AD.S06.03"
unregisterOnSharedPreferenceChangeListener,java,"UD.GDC.AD.7.16, UD.GDC.AD.7.17, UD.GDC.AD.7.18, UD.GDC.AD.7.33, UD.GDC.AD.7.34","UD.GDC.AD.T06.05, UD.GDC.AD.S06.02, UD.GDC.AD.S06.03"
SharedPreferences ListPreference,java,"UD.GDC.AD.7.21, UD.GDC.AD.7.22, UD.GDC.AD.7.34","UD.GDC.AD.T06.07, UD.GDC.AD.S06.02"
SharedPreferences ListPreference,resource xml,"UD.GDC.AD.7.21, UD.GDC.AD.7.22, UD.GDC.AD.7.34","UD.GDC.AD.T06.07, UD.GDC.AD.S06.02"
findPreference,java,"UD.GDC.AD.7.21, UD.GDC.AD.7.22, UD.GDC.AD.7.34","UD.GDC.AD.T06.07, UD.GDC.AD.S06.02"
ListPreference,resource xml,"UD.GDC.AD.7.21, UD.GDC.AD.7.22, UD.GDC.AD.7.34","UD.GDC.AD.T06.07, UD.GDC.AD.S06.02"
onSharedPreferenceChanged,java,"UD.GDC.AD.7.21, UD.GDC.AD.7.22, UD.GDC.AD.7.34","UD.GDC.AD.T06.07, UD.GDC.AD.S06.02"
getPreferenceScreen,java,"UD.GDC.AD.7.21, UD.GDC.AD.7.22, UD.GDC.AD.7.34","UD.GDC.AD.T06.07, UD.GDC.AD.S06.02"
getSharedPreferences,java,"UD.GDC.AD.7.21, UD.GDC.AD.7.22, UD.GDC.AD.7.34","UD.GDC.AD.T06.07, UD.GDC.AD.S06.02"
instanceof CheckBoxPreference,java,"UD.GDC.AD.7.21, UD.GDC.AD.7.22, UD.GDC.AD.7.34","UD.GDC.AD.T06.07, UD.GDC.AD.S06.02"
instanceof ListPreference,java,"UD.GDC.AD.7.21, UD.GDC.AD.7.22, UD.GDC.AD.7.34","UD.GDC.AD.T06.07, UD.GDC.AD.S06.02"
Preference findIndexOfValue,java,"UD.GDC.AD.7.21, UD.GDC.AD.7.22, UD.GDC.AD.7.34","UD.GDC.AD.T06.07, UD.GDC.AD.S06.02"
Preference setSummary,java,"UD.GDC.AD.7.21, UD.GDC.AD.7.22, UD.GDC.AD.7.34","UD.GDC.AD.T06.07, UD.GDC.AD.S06.02"
Preference getEntries,java,"UD.GDC.AD.7.21, UD.GDC.AD.7.22, UD.GDC.AD.7.34","UD.GDC.AD.T06.07, UD.GDC.AD.S06.02"
EditTextPreference,resource xml,"UD.GDC.AD.7.25, UD.GDC.AD.7.26",UD.GDC.AD.T06.09
instanceof EditTextPreference,java,"UD.GDC.AD.7.25, UD.GDC.AD.7.26",UD.GDC.AD.T06.09
intro to EditTextPreference Constraints,lesson,UD.GDC.AD.7.27,N/A
Preference.OnPreferenceChangeListener,java,"UD.GDC.AD.7.28, UD.GDC.AD.7.29",UD.GDC.AD.T06.10
onPreferenceChange,java,"UD.GDC.AD.7.28, UD.GDC.AD.7.29",UD.GDC.AD.T06.10
